ID,Fixed_Acidity,Volatile_Acidity,Citric_Acid,Residual_Sugar,Chlorides,Free_SO2,Total_SO2,Density,pH,Sulphates,Alcohol,Quality
655,7.1,0.28,0.26,,0.049,12.0,11.0,0.99-1.00,Acidic,0.38,9%,5.0
656,7.1,0.17,0.38,Moderate,0.052,49.0,182.0,0.99-1.00,Acidic,0.52,9%,6.0
657,7.8,0.28,0.22,Low,0.056,24.0,130.0,0.99-1.00,Acidic,0.48,9%,5.0
658,6.8,0.22,0.37,Low,0.036,38.0,195.0,0.99-1.00,Acidic,0.72,12%,6.0
659,7.1,0.17,0.38,Moderate,0.052,49.0,182.0,0.99-1.00,Acidic,0.52,9%,6.0
660,6.1,0.14,0.25,Low,0.047,37.0,173.0,0.99-1.00,Acidic,0.46,10%,6.0
661,6.4,0.24,0.5,Moderate,0.047,60.0,211.0,0.99-1.00,Acidic,0.57,9%,5.0
662,7.8,0.42,0.26,,0.058,34.0,199.0,0.99-1.00,Acidic,0.55,9%,6.0
663,6.6,0.28,0.36,Low,0.038,22.0,101.0,0.99-1.00,Acidic,0.57,11%,6.0
664,7.1,0.32,0.34,High,0.039,46.0,150.0,0.99-1.00,Acidic,0.5,12%,8.0
665,6.7,0.31,0.3,Low,0.038,18.0,130.0,0.99-1.00,Acidic,0.63,10%,6.0
666,6.4,0.32,0.5,Moderate,0.047,57.0,206.0,0.99-1.00,Acidic,0.6,9%,5.0
667,6.1,0.28,0.25,Low,0.056,44.0,201.0,0.99-1.00,Acidic,0.4,9%,6.0
668,5.9,0.29,0.25,Moderate,0.057,48.0,224.0,0.99-1.00,Acidic,0.41,9%,6.0
669,5.8,0.32,0.38,Low,0.033,23.0,94.0,0.99-1.00,Acidic,0.42,11%,7.0
670,5.8,0.32,0.38,Low,0.033,23.0,94.0,0.99-1.00,Acidic,0.42,11%,7.0
671,5.7,0.32,0.38,Low,0.033,23.0,94.0,0.99-1.00,Acidic,0.42,11%,7.0
672,6.7,0.28,0.14,Low,0.043,64.0,159.0,0.99-1.00,Acidic,0.39,10%,5.0
673,6.8,0.34,0.69,Low,0.058,12.0,171.0,0.99-1.00,Acidic,0.47,9%,5.0
674,5.9,0.25,0.25,Moderate,0.052,30.0,165.0,0.99-1.00,Acidic,0.44,9%,6.0
675,6.4,0.27,0.32,Low,0.24,61.0,174.0,0.99-1.00,Acidic,0.48,9%,5.0
676,8.1,0.46,0.31,Low,0.052,50.0,183.0,0.99-1.00,Acidic,0.42,11%,5.0
677,6.2,0.36,0.26,High,0.051,54.0,201.0,0.99-1.00,Acidic,0.46,9%,5.0
678,6.8,0.22,0.35,Low,0.043,21.0,115.6,0.99-1.00,Acidic,0.53,10%,7.0
679,6.8,0.67,0.3,High,0.29,22.0,193.0,0.99-1.00,Acidic,0.67,9%,4.0
680,7.2,0.28,0.3,Moderate,0.044,61.0,222.0,0.99-1.00,Acidic,0.5,9%,6.0
681,6.7,0.17,0.37,Low,0.039,34.0,125.0,0.99-1.00,Acidic,0.6,10%,7.0
682,6.9,0.2,0.34,Low,0.043,25.0,136.0,0.99-1.00,Acidic,0.6,10%,4.0
683,6.1,0.36,0.16,Low,0.037,36.0,198.0,0.99-1.00,Acidic,0.62,9%,
684,6.0,0.36,0.16,Low,0.036,36.0,191.0,0.99-1.00,Acidic,0.62,9%,5.0
685,5.9,0.37,0.14,Low,0.036,34.0,185.0,0.99-1.00,Acidic,0.63,9%,5.0
686,7.6,0.29,0.58,High,0.041,51.0,225.0,0.99-1.00,Acidic,0.66,9%,6.0
687,6.3,0.34,0.28,High,0.047,49.0,198.0,0.99-1.00,Acidic,0.46,9%,5.0
688,6.7,0.19,0.34,Low,0.022,22.0,94.0,0.99-1.00,Acidic,0.57,11%,6.0
689,7.5,0.31,0.51,High,0.039,62.0,204.0,0.99-1.00,Acidic,0.6,9%,5.0
690,7.5,0.31,0.51,High,0.039,62.0,204.0,0.99-1.00,Acidic,0.6,9%,5.0
691,7.4,0.31,0.48,High,0.04,62.0,204.0,0.99-1.00,Acidic,0.59,9%,5.0
692,8.4,0.4,0.7,High,0.042,29.0,197.0,0.99-1.00,Acidic,0.64,9%,5.0
693,5.9,0.34,0.22,Low,0.03,19.0,135.0,<0.99,Acidic,0.78,13%,7.0
694,6.6,0.38,0.18,Low,0.042,20.0,84.0,0.99-1.00,Acidic,0.45,10%,4.0
695,6.4,0.33,0.28,Low,0.038,30.0,110.0,0.99-1.00,Acidic,0.42,10%,6.0
696,5.6,0.25,0.26,Low,0.037,18.0,115.0,0.99-1.00,Acidic,0.5,12%,6.0
697,8.6,0.27,0.46,Low,0.03,13.0,41.8,0.99-1.00,Highly Acidic,0.34,10%,5.0
698,6.2,0.31,0.21,,0.041,50.0,218.0,0.99-1.00,Acidic,0.6,10%,5.0
699,7.2,0.18,0.45,Low,0.046,57.0,166.0,0.99-1.00,Acidic,0.62,11%,6.0
700,7.7,0.2,0.44,High,0.05,44.0,131.8,0.99-1.00,Acidic,0.48,10%,6.0
701,6.2,0.47,0.21,Low,0.044,13.0,98.0,0.99-1.00,Acidic,0.46,9%,5.0
702,6.1,0.25,0.24,Moderate,0.046,51.0,172.0,0.99-1.00,Acidic,0.45,9%,5.0
703,8.2,0.27,0.43,Low,0.035,31.0,128.0,0.99-1.00,Acidic,0.5,12%,6.0
704,8.2,0.27,0.43,Low,0.035,31.0,128.0,0.99-1.00,Acidic,0.5,12%,6.0
705,6.4,0.31,0.39,Moderate,0.04,57.0,213.0,0.99-1.00,Acidic,0.43,10%,5.0
706,6.0,0.39,0.26,Low,0.038,39.0,187.0,0.99-1.00,Acidic,0.5,10%,6.0
707,6.2,0.21,0.27,Low,0.038,41.0,150.0,0.99-1.00,Acidic,0.71,10%,7.0
708,7.7,0.42,0.31,Moderate,0.048,22.0,221.0,0.99-1.00,Acidic,0.61,9%,6.0
709,7.0,0.27,0.41,High,0.042,34.0,157.0,>1.00,Highly Acidic,0.5,9%,
710,6.2,0.21,0.27,Low,0.038,41.0,150.0,0.99-1.00,Acidic,0.71,10%,7.0
711,7.4,0.29,0.5,Low,0.042,35.0,127.0,0.99-1.00,Acidic,0.5,10%,
712,6.6,0.29,0.44,Moderate,0.053,62.0,178.0,0.99-1.00,Acidic,0.45,8%,5.0
713,6.0,0.3,0.44,Low,0.046,15.0,184.3,0.99-1.00,Acidic,0.52,10%,5.0
714,6.9,0.31,0.34,Low,0.032,23.0,128.0,0.99-1.00,Acidic,0.47,11%,6.0
715,6.6,0.33,0.31,Low,0.02,29.0,89.0,0.99-1.00,Acidic,0.44,12%,8.0
716,7.8,0.3,0.4,Low,0.028,23.0,122.0,0.99-1.00,Acidic,0.39,10%,7.0
717,6.4,0.39,0.21,Low,0.041,35.4,136.0,0.99-1.00,Acidic,0.46,10%,5.0
718,6.4,0.24,0.31,Low,0.038,41.0,114.0,0.99-1.00,Acidic,0.66,11%,7.0
719,7.0,0.21,0.34,Moderate,0.057,19.0,101.0,0.99-1.00,Highly Acidic,0.59,9%,5.0
720,6.4,0.16,0.31,Low,0.043,42.0,157.0,0.99-1.00,Acidic,0.47,10%,5.0
721,6.0,0.33,0.27,Low,0.185,12.0,188.0,0.99-1.00,Acidic,0.62,9%,5.0
722,6.5,0.23,0.33,High,0.042,25.0,139.0,0.99-1.00,Acidic,0.56,10%,6.0
723,6.2,0.25,0.48,Moderate,0.044,78.0,245.0,0.99-1.00,Acidic,0.47,9%,6.0
724,8.8,0.28,0.45,Low,0.022,14.0,49.0,0.99-1.00,Acidic,0.33,11%,7.0
725,6.6,0.25,0.3,High,0.052,40.0,183.0,0.99-1.00,Acidic,0.5,9%,6.0
726,6.9,0.38,0.25,Moderate,0.04,28.0,191.0,0.99-1.00,Acidic,0.61,9%,5.0
727,6.4,0.25,0.3,Low,0.038,15.0,129.0,0.99-1.00,Acidic,0.49,9%,6.0
728,6.6,0.25,0.3,High,0.052,40.0,183.0,0.99-1.00,Acidic,0.5,9%,
729,6.9,0.38,0.25,Moderate,0.04,28.0,191.0,0.99-1.00,Acidic,0.61,9%,5.0
730,7.1,0.21,0.31,Low,0.021,40.0,142.0,0.99-1.00,Acidic,0.39,10%,7.0
731,6.4,0.25,0.3,Low,0.038,15.0,129.0,0.99-1.00,Acidic,0.49,9%,6.0
732,6.9,0.39,0.4,Low,0.022,5.0,19.0,0.99-1.00,Acidic,0.37,12%,3.0
733,5.8,0.2,0.3,Low,0.031,21.0,57.0,0.99-1.00,Acidic,0.55,11%,6.0
734,7.0,0.2,0.37,Low,0.03,26.0,136.0,0.99-1.00,Acidic,0.61,10%,6.0
735,5.9,0.26,0.25,Moderate,0.034,38.0,152.0,0.99-1.00,Acidic,0.43,9%,5.0
736,7.4,0.38,0.27,Moderate,0.041,24.0,160.0,0.99-1.00,Acidic,0.43,10%,5.0
737,7.4,0.2,1.66,Low,0.022,34.1,113.0,0.99-1.00,Acidic,0.55,12%,6.0
738,7.0,0.21,0.34,Moderate,0.033,31.0,253.0,0.99-1.00,Acidic,0.56,10%,6.0
739,7.2,0.29,0.4,Moderate,0.024,56.0,177.0,0.99-1.00,Acidic,0.32,11%,6.0
740,6.9,0.18,0.38,,0.049,44.0,176.0,0.99-1.00,Acidic,0.54,9%,
741,7.3,0.3,0.42,,0.025,51.0,175.0,0.99-1.00,Acidic,0.32,11%,6.0
742,7.2,0.29,0.4,Moderate,0.024,56.0,177.0,0.99-1.00,Acidic,0.32,11%,6.0
743,6.9,0.2,0.5,Moderate,0.036,78.0,167.0,0.99-1.00,Acidic,0.55,10%,6.0
744,6.7,0.2,0.42,High,0.038,83.0,160.0,0.99-1.00,Acidic,0.5,9%,6.0
745,7.0,0.21,0.34,Moderate,0.033,31.0,242.0,0.99-1.00,Acidic,0.56,10%,6.0
746,5.9,0.35,0.47,Low,0.11,14.0,138.0,0.99-1.00,Acidic,0.5,9%,5.0
747,7.1,0.28,0.44,Low,0.032,32.0,107.0,0.99-1.00,Acidic,0.48,12%,7.0
748,5.8,0.25,0.28,Moderate,0.056,45.0,175.0,0.99-1.00,Acidic,0.43,9%,5.0
749,6.8,0.22,0.37,High,0.051,68.0,178.0,0.99-1.00,Acidic,0.85,9%,6.0
750,7.1,0.14,0.4,Low,0.051,55.0,136.0,0.99-1.00,Acidic,0.96,9%,7.0
751,7.1,0.13,0.4,Low,0.047,54.0,134.0,0.99-1.00,Acidic,0.97,9%,7.0
752,6.9,0.18,0.38,Moderate,0.049,44.0,176.0,0.99-1.00,Acidic,0.54,9%,6.0
753,7.0,0.2,0.38,Moderate,0.05,42.0,173.0,0.99-1.00,Acidic,0.54,9%,6.0
754,6.8,0.24,0.49,High,0.057,55.0,247.0,>1.00,Acidic,0.56,8%,5.0
755,5.0,0.44,0.04,High,0.039,38.0,128.0,0.99-1.00,Acidic,0.57,10%,6.0
756,6.3,0.3,0.28,Low,0.042,36.0,168.0,0.99-1.00,Acidic,0.69,9%,6.0
757,7.2,0.27,0.42,Low,0.05,35.0,135.0,0.99-1.00,Highly Acidic,0.46,11%,6.0
758,6.7,0.5,0.63,High,0.078,81.0,238.0,0.99-1.00,Acidic,0.44,9%,5.0
759,6.8,0.2,0.36,Low,0.028,7.0,46.0,0.99-1.00,Acidic,0.6,10%,6.0
760,6.7,0.11,0.34,Moderate,0.043,41.0,113.0,0.99-1.00,Acidic,0.4,9%,7.0
761,6.7,0.11,0.34,Moderate,0.043,41.0,113.0,0.99-1.00,Acidic,0.4,9%,7.0
762,6.8,0.12,0.31,,0.045,29.0,120.0,0.99-1.00,Acidic,0.46,9%,
763,6.6,0.16,0.57,Low,0.13,58.0,140.0,0.99-1.00,Acidic,0.39,9%,7.0
764,6.6,0.21,0.6,Low,0.135,61.0,144.0,0.99-1.00,Acidic,0.39,9%,7.0
765,6.1,0.27,0.3,High,0.039,49.0,172.0,0.99-1.00,Acidic,0.45,9%,5.0
766,9.1,0.27,0.45,Moderate,0.035,28.0,120.6,0.99-1.00,Acidic,0.46,10%,9.0
767,6.4,0.225,0.48,Low,0.115,29.0,104.0,0.99-1.00,Acidic,0.58,12%,6.0
768,8.3,0.14,0.45,Low,0.039,18.0,98.0,0.99-1.00,Acidic,0.56,11%,6.0
769,7.2,0.23,0.19,High,0.052,47.0,197.0,0.99-1.00,Acidic,0.53,9%,5.0
770,6.9,0.22,0.37,High,0.053,59.0,178.0,0.99-1.00,Acidic,0.82,9%,7.0
771,8.1,0.17,0.44,High,0.053,42.9,145.0,>1.00,Acidic,0.75,8%,8.0
772,6.0,0.395,0.0,Low,0.042,7.0,55.0,0.99-1.00,Acidic,0.38,11%,4.0
773,7.8,0.29,0.22,Moderate,0.056,44.0,213.0,0.99-1.00,Acidic,0.61,9%,6.0
774,6.9,0.22,0.37,High,0.053,59.0,178.0,0.99-1.00,Acidic,0.82,9%,7.0
775,8.1,0.17,0.44,High,0.053,43.0,145.0,>1.00,Acidic,0.75,8%,8.0
776,7.2,0.23,0.19,High,0.052,47.0,197.0,0.99-1.00,Acidic,0.53,9%,5.0
777,7.6,0.3,0.27,Moderate,0.039,31.0,119.0,0.99-1.00,Acidic,0.3,9%,6.0
778,7.7,0.34,0.28,Moderate,0.04,31.0,117.0,0.99-1.00,Acidic,0.29,9%,6.0
779,7.7,0.34,0.28,Moderate,0.04,31.0,117.0,0.99-1.00,Acidic,0.29,9%,6.0
780,5.8,0.34,0.16,Moderate,0.037,26.0,116.0,0.99-1.00,Acidic,0.45,10%,7.0
781,7.6,0.3,0.27,Moderate,0.039,31.0,119.0,0.99-1.00,Acidic,0.3,9%,6.0
782,7.7,0.34,0.28,Moderate,0.04,31.0,117.0,0.99-1.00,Acidic,0.29,9%,6.0
783,5.9,0.24,0.3,Low,0.033,28.0,92.0,0.99-1.00,Acidic,0.69,10%,7.0
784,6.4,0.46,0.08,Low,0.046,34.0,144.0,0.99-1.00,Acidic,0.56,10%,5.0
785,5.9,0.24,0.3,Low,0.033,28.0,92.0,0.99-1.00,Acidic,0.69,10%,7.0
786,7.4,0.32,0.27,Low,0.049,38.0,173.0,0.99-1.00,Acidic,0.52,9%,5.0
787,7.2,0.31,0.26,Moderate,0.05,37.0,157.0,0.99-1.00,Acidic,0.43,9%,5.0
788,7.8,0.42,0.23,Moderate,0.054,42.0,215.0,0.99-1.00,Acidic,0.58,9%,6.0
789,6.9,0.24,0.33,Moderate,0.046,47.0,153.0,0.99-1.00,Acidic,0.77,9%,6.0
790,5.4,0.18,0.24,Low,0.041,30.0,113.0,0.99-1.00,Acidic,0.4,9%,6.0
791,6.0,0.18,0.31,Low,0.036,14.0,75.0,0.99-1.00,Acidic,0.58,11%,8.0
792,7.8,0.27,0.58,Moderate,0.036,44.0,161.0,0.99-1.00,Acidic,0.41,8%,6.0
793,6.0,0.28,0.49,Low,0.048,61.0,222.0,0.99-1.00,Acidic,0.47,9%,
794,6.8,0.39,0.35,Moderate,0.044,57.0,220.0,0.99-1.00,Acidic,0.53,9%,5.0
795,6.6,0.21,0.31,Moderate,0.039,46.0,165.0,0.99-1.00,Acidic,0.44,9%,7.0
796,7.3,0.32,0.34,Low,0.032,24.0,112.0,0.99-1.00,Acidic,0.46,9%,6.0
797,7.8,0.27,0.58,Moderate,0.036,44.0,161.0,0.99-1.00,Acidic,0.41,8%,6.0
798,6.4,0.31,0.26,High,0.046,57.0,205.0,0.99-1.00,Acidic,0.41,9%,5.0
799,6.2,0.29,0.26,,0.046,55.0,204.0,0.99-1.00,Acidic,0.41,9%,6.0
800,6.0,0.39,0.17,Moderate,0.046,65.0,246.0,0.99-1.00,Acidic,0.38,9%,6.0
801,6.2,0.3,0.26,High,0.046,57.0,206.0,0.99-1.00,Acidic,0.43,9%,6.0
802,6.0,0.28,0.49,Low,0.048,61.0,222.0,0.99-1.00,Acidic,0.47,9%,5.0
803,6.0,0.41,0.05,Low,0.063,17.0,120.0,0.99-1.00,Acidic,0.56,9%,6.0
804,6.4,0.35,0.28,Low,0.055,9.0,160.0,0.99-1.00,Acidic,0.5,9%,7.0
805,6.5,0.26,0.32,High,0.045,43.9,166.0,>1.00,Acidic,0.46,9%,6.0
806,7.9,0.35,0.24,High,0.072,44.0,229.0,0.99-1.00,Acidic,0.59,10%,6.0
807,6.2,0.3,0.17,Low,0.04,24.0,125.0,0.99-1.00,Acidic,0.46,9%,5.0
808,8.4,0.18,0.42,Low,0.036,7.0,78.6,0.99-1.00,Acidic,0.52,11%,5.0
809,6.6,0.56,0.22,Moderate,0.034,27.0,133.0,0.99-1.00,Acidic,0.51,9%,5.0
810,6.2,0.3,0.17,Low,0.04,24.0,125.0,0.99-1.00,Acidic,0.46,9%,5.0
811,6.6,0.56,0.22,Moderate,0.033,27.0,133.0,0.99-1.00,Acidic,0.51,9%,5.0
812,6.6,0.36,0.29,Low,0.021,24.0,85.0,<0.99,Acidic,0.61,12%,9.0
813,7.3,0.655,0.2,Moderate,0.071,28.0,212.0,0.99-1.00,Highly Acidic,0.58,9%,
814,6.8,0.18,0.21,Low,0.053,34.0,32.0,0.99-1.00,Acidic,0.43,9%,5.0
815,6.7,0.19,0.23,Low,0.047,36.0,117.0,0.99-1.00,Acidic,0.43,9%,6.0
816,8.4,0.18,0.42,Low,0.036,7.0,77.0,0.99-1.00,Acidic,0.52,11%,5.0
817,7.0,0.21,0.37,Moderate,0.042,36.0,167.0,0.99-1.00,Acidic,0.56,9%,6.0
818,6.8,0.25,0.38,Moderate,0.046,24.0,22.0,0.99-1.00,Acidic,0.59,10%,6.0
819,7.4,0.24,0.36,Low,0.031,27.0,139.0,0.99-1.00,Acidic,0.48,12%,9.0
820,7.1,0.16,0.36,Moderate,0.044,20.0,90.0,0.99-1.00,Acidic,0.44,10%,7.0
821,7.1,0.16,0.36,Low,0.043,21.0,90.0,0.99-1.00,Acidic,0.42,11%,7.0
822,7.3,0.205,0.31,Low,0.06,34.0,110.0,0.99-1.00,Acidic,0.69,10%,6.0
823,7.4,0.17,0.4,Low,0.037,34.0,161.0,0.99-1.00,Acidic,0.62,11%,4.0
824,6.9,0.25,0.34,Low,0.035,27.0,82.0,0.99-1.00,Acidic,0.44,12%,6.0
825,7.3,0.205,0.31,Low,0.06,34.0,110.0,0.99-1.00,Acidic,0.69,10%,6.0
826,7.5,0.42,0.34,Low,0.04,34.0,108.0,0.99-1.00,Acidic,0.45,12%,8.0
827,7.3,0.25,0.36,Low,0.034,30.0,177.0,0.99-1.00,Acidic,0.4,11%,8.0
828,7.3,0.25,0.36,Low,0.034,30.0,177.0,0.99-1.00,Acidic,0.4,11%,8.0
829,7.3,0.25,0.36,,0.034,30.0,177.0,0.99-1.00,Acidic,0.4,11%,8.0
830,7.5,0.34,0.35,Low,0.034,12.0,126.0,0.99-1.00,Acidic,0.39,12%,7.0
831,7.6,0.33,0.35,Low,0.036,12.0,126.0,0.99-1.00,Acidic,0.39,12%,7.0
832,8.7,0.23,0.32,High,0.044,35.0,169.0,0.99-1.00,Acidic,0.47,8%,7.0
833,8.7,0.23,0.32,High,0.044,35.0,169.0,0.99-1.00,Acidic,0.47,8%,7.0
834,6.9,0.19,0.35,Low,0.036,33.0,101.0,0.99-1.00,Acidic,0.54,10%,7.0
835,7.3,0.21,0.29,Low,0.034,29.0,118.0,0.99-1.00,Acidic,0.5,11%,8.0
836,7.3,0.21,0.29,Low,0.034,29.0,118.0,0.99-1.00,Acidic,0.5,11%,8.0
837,6.6,0.22,0.37,High,0.035,62.0,150.0,0.99-1.00,Acidic,0.4,9%,5.0
838,9.2,0.34,0.27,Low,0.026,17.0,73.0,0.99-1.00,Acidic,0.39,10%,5.0
839,8.7,0.23,0.32,High,0.043,35.0,169.0,0.99-1.00,Acidic,0.47,8%,7.0
840,6.0,0.2,0.24,Low,0.03,30.0,110.1,0.99-1.00,Acidic,0.47,11%,6.0
841,6.9,0.19,0.35,Low,0.036,33.0,101.0,0.99-1.00,Acidic,0.54,10%,7.0
842,8.2,0.38,0.49,High,0.042,58.0,166.0,0.99-1.00,Acidic,0.54,9%,5.0
843,6.9,0.18,0.36,Low,0.036,40.0,117.0,0.99-1.00,Acidic,0.95,9%,7.0
844,7.7,0.34,0.58,Moderate,0.039,41.0,151.0,0.99-1.00,Acidic,0.49,8%,5.0
845,6.9,0.18,0.36,Low,0.036,40.0,117.0,0.99-1.00,Acidic,0.95,9%,7.0
846,7.4,0.2,0.35,Low,0.038,30.0,116.0,0.99-1.00,Acidic,0.77,10%,7.0
847,8.2,0.38,0.49,High,0.042,58.0,166.0,0.99-1.00,Acidic,0.54,9%,5.0
848,8.2,0.4,0.48,High,0.042,59.0,169.0,0.99-1.00,Acidic,0.52,9%,5.0
849,6.7,0.22,0.39,Moderate,0.038,60.0,149.0,0.99-1.00,Acidic,0.54,10%,7.0
850,6.6,0.3,0.3,Low,0.17,60.0,166.0,0.99-1.00,Acidic,0.47,9%,5.0
851,8.1,0.27,0.35,Low,0.03,38.0,103.0,0.99-1.00,Acidic,0.63,10%,8.0
852,7.3,0.25,0.42,High,0.041,57.0,182.0,0.99-1.00,Acidic,0.75,9%,7.0
853,4.8,0.34,0.0,Low,0.028,33.0,163.0,0.99-1.00,Acidic,0.61,9%,6.0
854,6.2,0.28,0.33,Low,0.029,24.0,111.0,0.99-1.00,Acidic,0.5,12%,6.0
855,4.8,0.33,0.0,Low,0.028,34.0,163.0,0.99-1.00,Acidic,0.61,9%,5.0
856,6.1,0.27,0.33,Low,0.021,26.0,117.0,<0.99,Acidic,0.3,12%,6.0
857,6.9,0.18,0.36,Low,0.036,40.0,117.0,0.99-1.00,Acidic,0.95,9%,7.0
858,7.8,0.18,0.46,Moderate,0.042,41.0,143.0,>1.00,Acidic,0.76,8%,8.0
859,7.3,0.28,0.42,High,0.04,49.0,173.0,0.99-1.00,Acidic,0.82,9%,7.0
860,7.3,0.24,0.29,Low,0.037,37.0,97.0,0.99-1.00,Acidic,0.7,10%,6.0
861,6.0,0.45,0.65,Moderate,0.08,11.0,159.0,0.99-1.00,Acidic,0.48,9%,5.0
862,7.7,0.34,0.58,Moderate,0.039,41.0,151.0,0.99-1.00,Acidic,0.49,8%,5.0
863,6.3,0.26,0.21,Low,0.03,24.0,125.0,0.99-1.00,Acidic,0.34,10%,6.0
864,10.3,0.17,0.47,Low,0.037,5.0,33.0,0.99-1.00,Highly Acidic,0.28,9%,3.0
865,7.7,0.15,0.29,Low,0.029,10.0,61.6,0.99-1.00,Acidic,0.39,10%,5.0
866,7.1,0.21,0.32,Low,0.037,28.0,141.0,0.99-1.00,Acidic,0.57,10%,7.0
867,6.9,0.36,0.34,Low,0.018,57.1,119.0,<0.99,Acidic,0.36,12%,9.0
868,6.0,0.28,0.34,Low,0.119,33.0,104.0,0.99-1.00,Acidic,0.38,10%,6.0
869,6.2,0.16,0.54,Low,0.126,37.0,110.0,0.99-1.00,Acidic,0.37,8%,6.0
870,6.9,0.12,0.36,,0.037,18.0,111.0,0.99-1.00,Acidic,0.82,11%,
871,7.1,0.21,0.32,Low,0.037,28.0,141.0,0.99-1.00,Acidic,0.57,10%,7.0
872,8.8,0.36,0.44,Low,0.04,9.0,121.0,0.99-1.00,Acidic,0.48,9%,
873,7.4,0.26,0.43,Low,0.022,22.0,125.0,0.99-1.00,Acidic,0.55,11%,6.0
874,7.4,0.26,0.43,Low,0.022,22.0,125.0,0.99-1.00,Acidic,0.55,11%,6.0
875,6.8,0.23,0.29,Moderate,0.035,38.0,236.0,0.99-1.00,Acidic,0.52,9%,6.0
876,6.1,0.34,0.27,Low,0.024,20.0,105.0,0.99-1.00,Acidic,0.67,12%,7.0
877,7.3,0.26,0.31,Low,0.04,39.0,173.0,0.99-1.00,Acidic,0.51,11%,6.0
878,6.5,0.3,0.32,Low,0.044,34.0,90.0,0.99-1.00,Acidic,0.68,11%,7.0
879,7.3,0.26,0.31,Low,0.04,39.0,173.0,0.99-1.00,Acidic,0.51,11%,6.0
880,6.5,0.3,0.32,Low,0.044,34.0,90.0,0.99-1.00,Acidic,0.68,11%,7.0
881,5.0,0.31,0.0,Low,0.046,42.1,166.0,0.99-1.00,Acidic,0.63,9%,6.0
882,5.8,0.26,0.18,Low,0.031,40.0,114.0,0.99-1.00,Acidic,0.4,11%,7.0
883,5.9,0.26,0.3,Low,0.036,38.0,114.0,0.99-1.00,Acidic,0.48,9%,5.0
884,7.0,0.31,0.29,,0.037,33.0,128.0,<0.99,Acidic,0.36,12%,7.0
885,5.8,0.26,0.18,Low,0.031,40.0,114.0,0.99-1.00,Acidic,0.4,11%,7.0
886,5.6,0.19,0.39,Low,0.043,17.0,67.0,0.99-1.00,Acidic,0.53,10%,6.0
887,6.8,0.18,0.28,Moderate,0.047,52.0,242.0,0.99-1.00,Acidic,0.53,10%,6.0
888,7.0,0.29,0.26,Low,0.044,12.0,87.0,0.99-1.00,Acidic,0.46,10%,6.0
889,6.6,0.26,0.29,Low,0.039,13.0,67.0,0.99-1.00,Acidic,0.49,10%,6.0
890,6.8,0.18,0.28,Moderate,0.047,52.0,242.0,0.99-1.00,Acidic,0.53,10%,6.0
891,6.6,0.2,0.38,Moderate,0.052,30.0,145.0,0.99-1.00,Acidic,0.56,11%,7.0
892,8.0,0.29,0.29,High,0.046,26.0,113.0,0.99-1.00,Acidic,0.37,9%,6.0
893,6.1,0.28,0.35,Moderate,0.048,63.0,229.0,0.99-1.00,Acidic,0.4,8%,5.0
894,5.9,0.31,0.3,Moderate,0.047,60.0,206.0,0.99-1.00,Acidic,0.39,9%,6.0
895,6.9,0.21,0.28,Low,0.056,49.0,159.0,0.99-1.00,Acidic,0.47,8%,8.0
896,8.4,0.19,0.42,Low,0.047,9.0,101.0,0.99-1.00,Acidic,0.65,11%,4.0
897,8.3,0.27,0.45,Low,0.048,8.0,72.0,0.99-1.00,Acidic,0.61,10%,4.0
898,7.1,0.25,0.39,Low,0.036,30.0,124.0,0.99-1.00,Acidic,0.43,12%,8.0
899,8.0,0.23,0.37,Moderate,0.055,23.0,159.0,0.99-1.00,Acidic,0.47,9%,4.0
900,7.5,0.24,0.31,High,0.049,46.0,217.0,0.99-1.00,Acidic,0.53,8%,5.0
901,6.3,0.33,0.2,Low,0.04,24.0,144.0,0.99-1.00,Acidic,0.63,9%,
902,6.2,0.33,0.19,Low,0.042,22.0,143.0,0.99-1.00,Acidic,0.63,9%,
903,6.3,0.34,0.19,Low,0.041,22.0,145.0,0.99-1.00,Acidic,0.63,9%,5.0
904,5.8,0.29,0.05,Low,0.038,11.0,30.0,0.99-1.00,Acidic,0.35,9%,5.0
905,8.0,0.32,0.26,Low,0.05,11.5,88.0,0.99-1.00,Acidic,0.37,9%,4.0
906,5.6,0.29,0.05,Low,0.037,11.0,30.0,0.99-1.00,Acidic,0.35,9%,5.0
907,7.4,0.13,0.39,Low,0.042,36.0,137.0,0.99-1.00,Acidic,0.56,10%,7.0
908,7.7,0.3,0.32,Low,0.037,23.0,124.0,0.99-1.00,Highly Acidic,0.33,11%,6.0
909,7.0,0.24,0.34,Low,0.031,27.0,107.0,0.99-1.00,Acidic,0.39,11%,6.0
910,8.6,0.18,0.4,Low,0.04,20.0,107.0,0.99-1.00,Highly Acidic,0.32,10%,7.0
911,7.0,0.11,0.32,Low,0.057,59.0,144.0,0.99-1.00,Acidic,0.44,9%,7.0
912,7.7,0.32,0.62,Moderate,0.036,56.0,153.0,0.99-1.00,Acidic,0.44,8%,6.0
913,7.7,0.32,0.62,Moderate,0.036,56.0,153.0,0.99-1.00,Acidic,0.44,8%,6.0
914,6.5,0.26,0.27,Moderate,0.044,69.0,215.0,0.99-1.00,Acidic,0.43,10%,6.0
915,7.9,0.28,0.41,Low,0.044,51.6,152.0,0.99-1.00,Acidic,0.49,10%,8.0
916,6.3,0.27,0.23,Low,0.045,13.0,100.0,0.99-1.00,Acidic,0.43,9%,
